"","BLDG001.X","BLDG001.Building","BLDG001.IntervalStart","BLDG001.Precipitation","BLDG001.CloudCover","BLDG001.Humidity","BLDG001.DewPoint","BLDG001.Temperature","BLDG001.Gas.Pump.1","BLDG001.Gas.Pump.2","BLDG001.Gas.Pump.3","BLDG001.HVAC.1","BLDG001.HVAC.1.Duct.Temp","BLDG001.HVAC.1.Runtime","BLDG001.HVAC.1.Runtime.Cool.Stage.1","BLDG001.HVAC.1.Runtime.Cool.Stage.2","BLDG001.HVAC.1.Runtime.Heat.Stage.1","BLDG001.HVAC.1.Runtime.Heat.Stage.2","BLDG001.HVAC.1.Zone.Temp","BLDG001.HVAC.2","BLDG001.HVAC.2.Duct.Temp","BLDG001.HVAC.2.Runtime","BLDG001.HVAC.2.Runtime.Cool.Stage.1","BLDG001.HVAC.2.Runtime.Cool.Stage.2","BLDG001.HVAC.2.Runtime.Heat.Stage.1","BLDG001.HVAC.2.Runtime.Heat.Stage.2","BLDG001.HVAC.2.Zone.Temp","BLDG001.HVAC.3","BLDG001.HVAC.3.Duct.Temp","BLDG001.HVAC.3.Runtime","BLDG001.HVAC.3.Runtime.Cool.Stage.1","BLDG001.HVAC.3.Runtime.Cool.Stage.2","BLDG001.HVAC.3.Runtime.Heat.Stage.1","BLDG001.HVAC.3.Runtime.Heat.Stage.2","BLDG001.HVAC.3.Zone.Temp","BLDG001.HVAC.4","BLDG001.HVAC.4.Duct.Temp","BLDG001.HVAC.4.Runtime","BLDG001.HVAC.4.Runtime.Cool.Stage.1","BLDG001.HVAC.4.Runtime.Cool.Stage.2","BLDG001.HVAC.4.Runtime.Heat.Stage.1","BLDG001.HVAC.4.Runtime.Heat.Stage.2","BLDG001.HVAC.4.Zone.Temp","BLDG001.HVAC.5","BLDG001.HVAC.5.Duct.Temp","BLDG001.HVAC.5.Runtime","BLDG001.HVAC.5.Runtime.Cool.Stage.1","BLDG001.HVAC.5.Runtime.Cool.Stage.2","BLDG001.HVAC.5.Runtime.Heat.Stage.1","BLDG001.HVAC.5.Runtime.Heat.Stage.2","BLDG001.HVAC.5.Zone.Temp","BLDG001.HVAC.6","BLDG001.HVAC.6.Duct.Temp","BLDG001.HVAC.6.Runtime","BLDG001.HVAC.6.Runtime.Cool.Stage.1","BLDG001.HVAC.6.Runtime.Cool.Stage.2","BLDG001.HVAC.6.Runtime.Heat.Stage.1","BLDG001.HVAC.6.Runtime.Heat.Stage.2","BLDG001.HVAC.6.Zone.Temp","BLDG001.Kitchen.Broiler","BLDG001.Kitchen.Fryer.1","BLDG001.Kitchen.Fryer.2","BLDG001.Kitchen.Grill.or.Griddle","BLDG001.Kitchen.Other","BLDG001.Kitchen.Oven.1","BLDG001.Kitchen.Oven.2","BLDG001.Lights.Mixed.Indoor.Outdoor","BLDG001.Lights.Outdoor.Signs.1","BLDG001.Lights.Outdoor.Signs.2","BLDG001.Main.Load","BLDG001.Main.Load.Non.HVAC","BLDG001.Outdoor.Temp","BLDG001.Refrig.Cooler","BLDG001.Refrig.Cooler.1.Temp","BLDG001.Refrig.Cooler.2.Temp","BLDG001.Refrig.Cooler.3.Temp","BLDG001.Refrig.Freezer","BLDG001.Refrig.Freezer.1.Temp","BLDG001.Refrig.Freezer.2.Temp","BLDG001.Refrig.Mixed","BLDG001.Water.Heater","BLDG001.Water.Heater.1.Temp","BLDG001.Water.Heater.2.Temp","BLDG001.Time"
"1",1,"BLDG001","1/1/2011 0:00",0,0,92,35.6,37.6,NA,NA,NA,0,NA,NA,0,0,0,0,59.3,1,NA,NA,0,0,0,0,63.3,0.6,NA,NA,0,0,0,0,61.3,2.6,71.2,NA,0,0,6,0,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23.6,19.4,43.5,NA,35.6,NA,NA,NA,4,NA,NA,0.3,136.5,NA,1
"2",2,"BLDG001","1/1/2011 1:00",0,100,96,36.7,37.7,NA,NA,NA,0,94.3,NA,0,0,4,0,60.6,0.9,NA,NA,0,0,0,0,62.5,1,NA,NA,0,0,0,0,61.5,2.6,73.5,NA,0,0,22,0,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23.8,19.3,42.7,NA,37.7,NA,NA,NA,8.9,NA,NA,1.1,137,NA,2
"3",3,"BLDG001","1/1/2011 2:00",0,100,100,37.5,37.5,NA,NA,NA,0,98.2,NA,0,0,19,5,63.8,0.9,NA,NA,0,0,0,0,62.8,2.6,NA,NA,0,0,0,0,60.7,2.7,73.9,NA,0,0,23,0,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28,21.7,42.5,NA,37.5,NA,NA,NA,5.1,NA,NA,1.3,139.7,NA,3
"4",4,"BLDG001","1/1/2011 3:00",0,100,98,35.2,36.2,NA,NA,NA,0,100.5,NA,0,0,26,0,69.3,10.4,103.5,NA,0,0,59,55,64.3,6.2,91.5,NA,0,0,44,40,62.3,2.7,75.4,NA,0,0,23,4,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,54,34.6,41.2,NA,37.2,NA,NA,NA,3,NA,NA,1.4,138.7,NA,4
"5",5,"BLDG001","1/1/2011 4:00",0,100,97,37,38,NA,NA,NA,0,89.1,NA,0,0,25,0,69.1,3.9,72.1,NA,0,0,60,60,67.1,6.9,92.1,NA,0,0,60,60,67.1,3.3,74.1,NA,0,0,32,13,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,82,67.7,42,NA,38,NA,NA,NA,2,NA,NA,2.6,143.1,NA,5
"6",6,"BLDG001","1/1/2011 5:00",0,30,93,36.8,38.8,NA,NA,NA,0,85.6,NA,0,0,23,0,68.7,3.9,70.7,NA,0,0,60,60,66.7,6.1,93.5,NA,0,0,54,54,67.7,2.8,73.6,NA,0,0,28,10,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,79.6,66.7,39.8,NA,37.8,NA,NA,NA,2,NA,NA,3.3,142.3,NA,6
"7",7,"BLDG001","1/1/2011 6:00",0,100,92,38.4,40.4,NA,NA,NA,0,82.7,NA,0,0,22,0,68,3.8,70.9,NA,0,0,59,59,66,4.9,86.7,NA,0,0,34,21,68.9,3.8,71.9,NA,0,0,46,34,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,71.5,58.8,40.4,NA,37.4,NA,NA,NA,1,NA,NA,1.9,137.9,NA,7
"8",8,"BLDG001","1/1/2011 7:00",0,70,95,40.6,41.6,NA,NA,NA,0,85.1,NA,0,0,19,0,68.3,3.9,71.3,NA,0,0,59,59,67.3,4.6,89.1,NA,0,0,34,21,69.3,3.5,73.3,NA,0,0,41,31,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,62.9,50.8,42.6,NA,36.6,NA,NA,NA,11.9,NA,NA,2,139.6,NA,8
"9",9,"BLDG001","1/1/2011 8:00",0,0,93,42.1,44.2,NA,NA,NA,0,90.3,NA,0,0,8,0,68.2,3.9,74.3,NA,0,0,60,60,68.2,2.3,92.3,NA,0,0,12,4,70.2,3.9,76.3,NA,0,0,44,29,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.8,NA,NA,NA,NA,NA,NA,NA,NA,59.5,49.3,48.2,NA,37.1,NA,NA,NA,8,NA,NA,2.3,143.5,NA,9
"10",10,"BLDG001","1/1/2011 9:00",0,30,93,48.2,50.2,NA,NA,NA,0,NA,NA,0,0,0,0,71.3,3.1,77.4,NA,0,0,45,45,69.3,0.9,91.4,NA,0,0,4,0,70.3,3,82.4,NA,0,0,26,1,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,69.7,62.6,60.3,NA,37.2,NA,NA,NA,1,NA,NA,5,145.7,NA,10
"11",11,"BLDG001","1/1/2011 10:00",0,30,74,55.1,63,NA,NA,NA,0,63,NA,16,0,0,0,71.8,0.9,NA,NA,0,0,0,0,69.8,1.3,NA,NA,0,0,0,0,68.9,1.5,86.6,NA,0,0,4,0,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,68.6,64.7,67.9,NA,37.4,NA,NA,NA,1,NA,NA,3.9,141.6,NA,11
"12",12,"BLDG001","1/1/2011 11:00",0,0,67,54.9,65.7,NA,NA,NA,0,61.8,NA,28,0,0,0,71.6,0.9,NA,NA,0,0,0,0,70.6,1.8,NA,NA,0,0,0,0,69.7,1.2,NA,NA,0,0,0,0,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,65,61.1,69.7,NA,37.3,NA,NA,NA,1,NA,NA,4.9,142.3,NA,12
"13",13,"BLDG001","1/1/2011 12:00",0,70,70,58.2,68.2,NA,NA,NA,0,62.2,NA,24,0,0,0,73.3,0.9,NA,NA,0,0,0,0,73.3,1.7,NA,NA,0,0,0,0,72.3,1.2,NA,NA,0,0,0,0,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,2.5,NA,NA,NA,NA,NA,NA,NA,NA,57.6,53.7,70.3,NA,38.1,NA,NA,NA,2,NA,NA,1.1,137.5,NA,13
"14",14,"BLDG001","1/1/2011 13:00",0,100,71,56.8,66.8,NA,NA,NA,0,61.8,NA,28,4,0,0,72.8,0.9,NA,NA,0,0,0,0,73.8,2,NA,NA,0,0,0,0,71.8,1.2,NA,NA,0,0,0,0,71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,59.6,55.3,69.8,NA,37.9,NA,NA,NA,9,NA,NA,2.1,141.6,NA,14
"15",15,"BLDG001","1/1/2011 14:00",0,30,68,58,69,NA,NA,NA,0,60,NA,24,4,0,0,73,3.4,57,NA,20,10,0,0,76,1.8,NA,NA,0,0,0,0,74,1.2,NA,NA,0,0,0,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,58.7,52.2,70,NA,38,NA,NA,NA,5,NA,NA,1.6,139.1,NA,15
"16",16,"BLDG001","1/1/2011 15:00",0,0,67,55.9,66.7,NA,NA,NA,0,61.8,NA,13,0,0,0,71.6,4.7,51,NA,33,21,0,0,74.5,1.1,NA,NA,0,0,0,0,73.6,1.2,NA,NA,0,0,0,0,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,58.8,51.8,66.7,NA,37.3,NA,NA,NA,0,NA,NA,1.5,135.3,NA,16
"17",17,"BLDG001","1/1/2011 16:00",0,30,72,56,64.9,NA,NA,NA,0,61.9,NA,13,0,0,0,71.7,2.3,52.1,NA,12,4,0,0,73.7,1.1,NA,NA,0,0,0,0,72.7,1.2,NA,NA,0,0,0,0,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,58,53.3,64.9,NA,37.3,NA,NA,NA,1,NA,NA,4.9,135.6,NA,17
"18",18,"BLDG001","1/1/2011 17:00",0,30,77,58,66.1,NA,NA,NA,0,63,NA,12,0,0,0,74.2,0.9,NA,NA,0,0,0,0,76.3,1.1,NA,NA,0,0,0,0,74.2,1.2,NA,NA,0,0,0,0,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,67.2,63.7,63,NA,38.6,NA,NA,NA,1,NA,NA,0.7,138.3,NA,18
"19",19,"BLDG001","1/1/2011 18:00",0,70,85,57.7,62.8,NA,NA,NA,0,63.8,NA,8,0,0,0,73.9,0.9,NA,NA,0,0,0,0,75.9,1,NA,NA,0,0,0,0,72.9,1.2,NA,NA,0,0,0,0,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,67.9,64.8,60.7,NA,38.5,NA,NA,NA,2,NA,NA,1.5,140.7,NA,19
"20",20,"BLDG001","1/1/2011 19:00",0,100,85,56.4,61.5,NA,NA,NA,0,62.5,NA,8,0,0,0,73.6,0.9,NA,NA,0,0,0,0,74.6,0.9,NA,NA,0,0,0,0,71.5,1.6,96.7,NA,0,0,4,0,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,73.7,70,59.5,NA,38.3,NA,NA,NA,9.1,NA,NA,4.8,147.1,NA,20
