"","BLDG001.X","BLDG001.Building","BLDG001.IntervalStart","BLDG001.Precipitation","BLDG001.CloudCover","BLDG001.Humidity","BLDG001.DewPoint","BLDG001.Temperature","BLDG001.Gas.Pump.1","BLDG001.Gas.Pump.2","BLDG001.Gas.Pump.3","BLDG001.HVAC.1","BLDG001.HVAC.1.Duct.Temp","BLDG001.HVAC.1.Runtime","BLDG001.HVAC.1.Runtime.Cool.Stage.1","BLDG001.HVAC.1.Runtime.Cool.Stage.2","BLDG001.HVAC.1.Runtime.Heat.Stage.1","BLDG001.HVAC.1.Runtime.Heat.Stage.2","BLDG001.HVAC.1.Zone.Temp","BLDG001.HVAC.2","BLDG001.HVAC.2.Duct.Temp","BLDG001.HVAC.2.Runtime","BLDG001.HVAC.2.Runtime.Cool.Stage.1","BLDG001.HVAC.2.Runtime.Cool.Stage.2","BLDG001.HVAC.2.Runtime.Heat.Stage.1","BLDG001.HVAC.2.Runtime.Heat.Stage.2","BLDG001.HVAC.2.Zone.Temp","BLDG001.HVAC.3","BLDG001.HVAC.3.Duct.Temp","BLDG001.HVAC.3.Runtime","BLDG001.HVAC.3.Runtime.Cool.Stage.1","BLDG001.HVAC.3.Runtime.Cool.Stage.2","BLDG001.HVAC.3.Runtime.Heat.Stage.1","BLDG001.HVAC.3.Runtime.Heat.Stage.2","BLDG001.HVAC.3.Zone.Temp","BLDG001.HVAC.4","BLDG001.HVAC.4.Duct.Temp","BLDG001.HVAC.4.Runtime","BLDG001.HVAC.4.Runtime.Cool.Stage.1","BLDG001.HVAC.4.Runtime.Cool.Stage.2","BLDG001.HVAC.4.Runtime.Heat.Stage.1","BLDG001.HVAC.4.Runtime.Heat.Stage.2","BLDG001.HVAC.4.Zone.Temp","BLDG001.HVAC.5","BLDG001.HVAC.5.Duct.Temp","BLDG001.HVAC.5.Runtime","BLDG001.HVAC.5.Runtime.Cool.Stage.1","BLDG001.HVAC.5.Runtime.Cool.Stage.2","BLDG001.HVAC.5.Runtime.Heat.Stage.1","BLDG001.HVAC.5.Runtime.Heat.Stage.2","BLDG001.HVAC.5.Zone.Temp","BLDG001.HVAC.6","BLDG001.HVAC.6.Duct.Temp","BLDG001.HVAC.6.Runtime","BLDG001.HVAC.6.Runtime.Cool.Stage.1","BLDG001.HVAC.6.Runtime.Cool.Stage.2","BLDG001.HVAC.6.Runtime.Heat.Stage.1","BLDG001.HVAC.6.Runtime.Heat.Stage.2","BLDG001.HVAC.6.Zone.Temp","BLDG001.Kitchen.Broiler","BLDG001.Kitchen.Fryer.1","BLDG001.Kitchen.Fryer.2","BLDG001.Kitchen.Grill.or.Griddle","BLDG001.Kitchen.Other","BLDG001.Kitchen.Oven.1","BLDG001.Kitchen.Oven.2","BLDG001.Lights.Mixed.Indoor.Outdoor","BLDG001.Lights.Outdoor.Signs.1","BLDG001.Lights.Outdoor.Signs.2","BLDG001.Main.Load","BLDG001.Main.Load.Non.HVAC","BLDG001.Outdoor.Temp","BLDG001.Refrig.Cooler","BLDG001.Refrig.Cooler.1.Temp","BLDG001.Refrig.Cooler.2.Temp","BLDG001.Refrig.Cooler.3.Temp","BLDG001.Refrig.Freezer","BLDG001.Refrig.Freezer.1.Temp","BLDG001.Refrig.Freezer.2.Temp","BLDG001.Refrig.Mixed","BLDG001.Water.Heater","BLDG001.Water.Heater.1.Temp","BLDG001.Water.Heater.2.Temp","BLDG001.Time"
"21",21,"BLDG001","1/1/2011 20:00",0,100,83,55.2,60.1,NA,NA,NA,0,62.1,NA,5,0,0,0,71.9,0.9,NA,NA,0,0,0,0,72.9,0.8,NA,NA,0,0,0,0,70,1.8,89.7,NA,0,0,7,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,1,NA,NA,NA,NA,NA,NA,NA,NA,67.4,63.8,58.1,NA,37.4,NA,NA,NA,4.9,NA,NA,2,139.9,NA,21
"22",22,"BLDG001","1/1/2011 21:00",0,100,93,57,59,NA,NA,NA,0,55,NA,8,4,0,0,72,1,NA,NA,0,0,0,0,74,1.1,NA,NA,0,0,0,0,71,2,95,NA,0,0,11,0,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,35.7,31.6,58,NA,37,NA,NA,NA,1,NA,NA,1.8,139.9,NA,22
"23",23,"BLDG001","1/1/2011 22:00",0,100,94,57.6,59.6,NA,NA,NA,0,NA,NA,0,0,0,0,71.7,1,NA,NA,0,0,0,0,74.7,0.6,NA,NA,0,0,0,0,70.7,1.2,NA,NA,0,0,0,0,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25.1,22.2,58.6,NA,38.4,NA,NA,NA,2,NA,NA,0.7,140.4,NA,23
"24",24,"BLDG001","1/1/2011 23:00",0,100,95,57.5,58.5,NA,NA,NA,0,NA,NA,0,0,0,0,69.5,1,NA,NA,0,0,0,0,72.4,0.6,NA,NA,0,0,0,0,68.5,1.2,NA,NA,0,0,0,0,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21.2,18.5,58.5,NA,37.7,NA,NA,NA,3,NA,NA,1.5,137.9,NA,24
"25",25,"BLDG001","1/2/2011 0:00",0,100,95,57.6,58.6,NA,NA,NA,0,NA,NA,0,0,0,0,69.5,1,NA,NA,0,0,0,0,71.5,0.6,NA,NA,0,0,0,0,68.5,1.2,NA,NA,0,0,0,0,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21,18.1,58.6,NA,37.7,NA,NA,NA,1,NA,NA,0.7,137,NA,25
"26",26,"BLDG001","1/2/2011 1:00",0,100,96,58.1,59.1,NA,NA,NA,0,NA,NA,0,0,0,0,69.2,1,NA,NA,0,0,0,0,72.2,0.6,NA,NA,0,0,0,0,68.2,1.2,NA,NA,0,0,0,0,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21.6,18.7,58.1,NA,37.1,NA,NA,NA,11,NA,NA,1.5,138.3,NA,26
"27",27,"BLDG001","1/2/2011 2:00",0,30,96,58.1,59.1,NA,NA,NA,0,NA,NA,0,0,0,0,69.1,1,NA,NA,0,0,0,0,72.1,0.6,NA,NA,0,0,0,0,68.1,1.2,NA,NA,0,0,0,0,67.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21.2,18.4,58.1,NA,38.1,NA,NA,NA,6,NA,NA,0.7,138.2,NA,27
"28",28,"BLDG001","1/2/2011 3:00",0,30,98,59.2,60.2,NA,NA,NA,0,NA,NA,0,0,0,0,70.4,1,NA,NA,0,0,0,0,72.4,0.6,NA,NA,0,0,0,0,69.4,1.2,NA,NA,0,0,0,0,68.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24.2,21.2,59.2,NA,38.8,NA,NA,NA,2,NA,NA,1.5,140.8,NA,28
"29",29,"BLDG001","1/2/2011 4:00",0,100,98,57.1,57.1,NA,NA,NA,0,NA,NA,0,0,0,0,67.9,1,NA,NA,0,0,0,0,69.9,3.9,121.1,NA,0,0,34,30,67.9,2.4,65,NA,19,15,4,0,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,37,29.6,58.1,NA,37.4,NA,NA,NA,1,NA,NA,0.9,135.9,NA,29
"30",30,"BLDG001","1/2/2011 5:00",0,100,97,58.3,59.3,NA,NA,NA,0,NA,NA,0,0,0,0,70.4,1,NA,NA,0,0,0,0,72.4,0.6,NA,NA,0,0,0,0,70.4,2.2,94.5,NA,0,0,12,0,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,56.3,52.3,59.3,NA,37.2,NA,NA,NA,1,NA,NA,1.6,139.8,NA,30
"31",31,"BLDG001","1/2/2011 6:00",0,100,97,59.4,60.4,NA,NA,NA,0,NA,NA,0,0,0,0,72.4,1,NA,NA,0,0,0,0,72.4,0.6,NA,NA,0,0,0,0,70.4,2.2,94.6,NA,0,0,12,0,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,56.4,52.5,58.4,NA,38.2,NA,NA,NA,5,NA,NA,1.9,140.8,NA,31
"32",32,"BLDG001","1/2/2011 7:00",0,100,96,59.3,60.3,NA,NA,NA,0,NA,NA,0,0,0,0,72.4,1,NA,NA,0,0,0,0,72.4,0.6,NA,NA,0,0,0,0,70.4,1.9,94.5,NA,0,0,8,0,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,52.7,49.1,59.3,NA,38.2,NA,NA,NA,13.1,NA,NA,2.5,142.7,NA,32
"33",33,"BLDG001","1/2/2011 8:00",0,100,97,59.4,60.4,NA,NA,NA,0,64.4,NA,4,0,0,0,73.5,1,NA,NA,0,0,0,0,72.5,0.8,NA,NA,0,0,0,0,70.4,1.5,92.6,NA,0,0,4,0,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,44.9,41.5,60.4,NA,37.2,NA,NA,NA,7,NA,NA,2,141.9,NA,33
"34",34,"BLDG001","1/2/2011 9:00",0,100,92,59.6,61.6,NA,NA,NA,0,63.6,NA,17,0,0,0,72.6,1,NA,NA,0,0,0,0,72.6,1.3,NA,NA,0,0,0,0,69.6,1.2,NA,NA,0,0,0,0,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA,50.3,46.7,67.6,NA,37.8,NA,NA,NA,1,NA,NA,1,139.2,NA,34
"35",35,"BLDG001","1/2/2011 10:00",0,30,82,60.7,66.7,NA,NA,NA,0,62.7,NA,31,4,0,0,73.8,0.9,NA,NA,0,0,0,0,74.8,2,NA,NA,0,0,0,0,72.8,1.2,NA,NA,0,0,0,0,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1.8,NA,NA,NA,NA,NA,NA,NA,NA,67.1,62.8,72.8,NA,38.4,NA,NA,NA,0,NA,NA,2.1,142.6,NA,35
"36",36,"BLDG001","1/2/2011 11:00",0,0,77,60.7,68.7,NA,NA,NA,0,60.7,NA,32,4,0,0,73.8,0.9,NA,NA,0,0,0,0,74.8,2.2,NA,NA,0,0,0,0,72.8,1.2,NA,NA,0,0,0,0,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,67.1,62.7,70.8,NA,38.4,NA,NA,NA,1,NA,NA,4.2,145.6,NA,36
"37",37,"BLDG001","1/2/2011 12:00",0,100,74,61,70.1,NA,NA,NA,0,61,NA,36,8,0,0,75.2,0.9,NA,NA,0,0,0,0,76.2,2.4,NA,NA,0,0,0,0,74.2,1.2,NA,NA,0,0,0,0,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,64,59.4,72.2,NA,37.6,NA,NA,NA,1,NA,NA,2,144.3,NA,37
"38",38,"BLDG001","1/2/2011 13:00",0,70,73,59,68,NA,NA,NA,0,58,NA,30,8,0,0,73,2.6,58,NA,14,6,0,0,75,2.2,NA,NA,0,0,0,0,74,1.2,NA,NA,0,0,0,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,62.9,56.8,72,NA,37,NA,NA,NA,10,NA,NA,1.1,141,NA,38
"39",39,"BLDG001","1/2/2011 14:00",0,30,75,59.2,67.1,NA,NA,NA,0,61.2,NA,18,0,0,0,72.1,2.1,53.3,NA,11,7,0,0,74,1.4,NA,NA,0,0,0,0,73.1,1.2,NA,NA,0,0,0,0,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,57.4,52.7,66.1,NA,37.5,NA,NA,NA,5.9,NA,NA,2.1,139.2,NA,39
"40",40,"BLDG001","1/2/2011 15:00",0,70,86,58.2,62.3,NA,NA,NA,0,61.2,NA,19,0,0,0,73.3,0.9,NA,NA,0,0,0,0,75.3,1.3,NA,NA,0,0,0,0,74.3,1.2,NA,NA,0,0,0,0,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,0,NA,NA,NA,NA,NA,NA,NA,NA,57,53.4,64.3,NA,38.2,NA,NA,NA,0,NA,NA,1.5,140.6,NA,40
"41",41,"BLDG001","1/2/2011 16:00",0,100,85,57.1,61,NA,NA,NA,0,61,NA,16,0,0,0,71.9,0.9,NA,NA,0,0,0,0,73.8,1.3,NA,NA,0,0,0,0,70.9,1.2,NA,NA,0,0,0,0,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,0,NA,NA,NA,NA,NA,NA,NA,NA,53.9,50.5,62,NA,37.4,NA,NA,NA,2,NA,NA,3.5,139.8,NA,41
"42",42,"BLDG001","1/2/2011 17:00",0,100,84,58.3,63.3,NA,NA,NA,0,62.3,NA,16,0,0,0,73.4,0.9,NA,NA,0,0,0,0,75.4,1.3,NA,NA,0,0,0,0,72.3,1.2,NA,NA,0,0,0,0,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA,69.5,65.9,62.3,NA,38.2,NA,NA,NA,1,NA,NA,2.4,141.7,NA,42
"43",43,"BLDG001","1/2/2011 18:00",0,100,86,57.7,61.7,NA,NA,NA,0,59.7,NA,4,0,0,0,72.7,0.9,NA,NA,0,0,0,0,73.7,0.8,NA,NA,0,0,0,0,70.7,1.5,92.6,NA,0,0,5,0,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,0,NA,NA,NA,NA,NA,NA,NA,NA,66.6,63.3,59.7,NA,37.8,NA,NA,NA,1,NA,NA,2.5,139.4,NA,43
"44",44,"BLDG001","1/2/2011 19:00",0,100,93,58.1,60.1,NA,NA,NA,0,62.1,NA,4,0,0,0,73.2,0.9,NA,NA,0,0,0,0,74.2,0.8,NA,NA,0,0,0,0,71.2,1.9,94.2,NA,0,0,8,0,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,0,NA,NA,NA,NA,NA,NA,NA,NA,70.9,67.2,58.1,NA,38.1,NA,NA,NA,12,NA,NA,4.2,144.3,NA,44
"45",45,"BLDG001","1/2/2011 20:00",0,30,97,57.1,58.1,NA,NA,NA,0,NA,NA,0,0,0,0,73.1,0.9,NA,NA,0,0,0,0,73.1,0.6,NA,NA,0,0,0,0,70.1,2.3,93.2,NA,0,0,13,0,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,0,NA,NA,NA,NA,NA,NA,NA,NA,69,65.1,55.1,NA,38.1,NA,NA,NA,6,NA,NA,2.5,143.2,NA,45
"46",46,"BLDG001","1/2/2011 21:00",0,30,63,41.2,53,NA,NA,NA,0,NA,NA,0,0,0,0,68.7,1,NA,NA,0,0,0,0,70.7,1.3,94.2,NA,0,0,8,4,68.7,2.6,82.4,NA,4,0,18,0,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,36.8,31.9,51,NA,37.3,NA,NA,NA,2,NA,NA,1.6,137.4,NA,46
"47",47,"BLDG001","1/2/2011 22:00",0,70,58,38.6,52.4,NA,NA,NA,0,NA,NA,0,0,0,0,67.3,1,NA,NA,0,0,0,0,69.3,0.6,NA,NA,0,0,0,0,68.3,1.5,85.1,NA,0,0,4,0,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25.9,22.8,49.5,NA,37.6,NA,NA,NA,3,NA,NA,0.8,137.5,NA,47
"48",48,"BLDG001","1/2/2011 23:00",0,30,61,37.2,50.3,NA,NA,NA,0,NA,NA,0,0,0,0,66.4,1,NA,NA,0,0,0,0,68.4,0.6,NA,NA,0,0,0,0,67.4,1.2,NA,NA,0,0,0,0,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23.2,20.3,48.3,NA,38.2,NA,NA,NA,0,NA,NA,1.3,139.9,NA,48
"49",49,"BLDG001","1/3/2011 0:00",0,30,43,26.6,47.3,NA,NA,NA,0,NA,NA,0,0,0,0,63,1,NA,NA,0,0,0,0,65,0.6,NA,NA,0,0,0,0,64,1.2,NA,NA,0,0,0,0,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20.5,17.6,45.3,NA,37.4,NA,NA,NA,2,NA,NA,0.7,136.9,NA,49
